7750,11
2008,33
2009,26
2006,23
-2500,17
2007,26
2004,43
2005,35
2002,39
-9750,456
2003,47
-1500,1832
-4500,1180
2012,38
2011,36
2010,14
-10250,294
2013,35
-1250,30
2014,34
2750,140
-5250,441
1990,84
Special Purpose Vehicles,1
-8500,18
-6750,7
0,1353
3000,124
1986,104
1987,125
-16500,51
1984,312
1985,139
4500,58
-6250,655
1988,89
1989,114
5750,7
1000,1059
6750,4
-8750,350
5250,8
-14000,209
-5750,1642
6500,4
1995,50
1996,41
1997,47
1998,44
1991,79
1500,474
1992,69
1993,51
-8250,822
1994,42
6000,13
-250,133
1999,45
-4750,1594
3750,27
-19500,6
-12000,213
-500,1507
-3750,1732
2001,41
2000,501
-28250,5
-750,254
2250,378
4000,35
1250,861
-1000,2298
7500,2
4250,9
2500,249
7250,6
3250,116
6250,9
-1750,523
-3500,1072
1750,80
-2250,2663
500,1169
8250,7
-11750,299
4750,61
5500,32
-3000,3102
3500,76
-20000,31
7000,2
-2750,2
250,89
-16750,38
Small Pickup Trucks,1
750,66
-7000,1293
8000,2
-7500,455
5000,19
-23500,2
-5500,76
